"GUID","Label","AllowIPNM"
"215ea7b3-e52e-4c50-a5ac-86b8253c95cb","MULTIRECORD_MEASURE_QA_EVENT_TEMPORAL_NOTEMPTY",
"d41a731b-2e2b-4442-9217-4c375ae92926","MULTIRECORD_MEASURE_QA_EVENTDATE_INRANGE",
"c23cd67d-1b5c-4e9f-a1ce-8cc6b3e9b365","MULTIRECORD_MEASURE_QA_EVENTDATE_NOTEMPTY",
"14a1d51f-16ed-4148-9dc8-1e90157a9868","MULTIRECORD_MEASURE_QA_EVENTDATE_STANDARD",
"a07d7147-2db8-48ce-81b8-e47595ad5f17","MULTIRECORD_MEASURE_QA_FAMILY_FOUND","Yes"
"c5c8db83-3af0-4215-806f-e2f90574b138","MULTIRECORD_MEASURE_QA_GENUS_FOUND","Yes"
"488c1dff-21ec-4e68-a00a-7355505e180c","MULTIRECORD_MEASURE_QA_GEODETICDATUM_NOTEMPTY",
"cb88b6d9-85b2-4cd5-9bfa-c0d96f79552e","MULTIRECORD_MEASURE_QA_GEODETICDATUM_STANDARD",
"465d7ac1-d193-46c0-a302-56a9ef99215f","MULTIRECORD_MEASURE_QA_KINGDOM_FOUND",
"3bc9df8b-0f57-4157-9374-b56a99090b22","MULTIRECORD_MEASURE_QA_KINGDOM_NOTEMPTY",
"4fccf163-9336-4f48-996c-57f5f66e72db","MULTIRECORD_MEASURE_QA_LICENSE_NOTEMPTY",
"acd8d43e-7a2a-4372-b887-fb53a9972dc9","MULTIRECORD_MEASURE_QA_LICENSE_STANDARD",
"3b2e4791-1a5a-4087-9e8d-09c67cf8c816","MULTIRECORD_MEASURE_QA_LOCATION_NOTEMPTY",
"c73d49d1-06e4-4272-8249-6a26e7f8abca","MULTIRECORD_MEASURE_QA_MAXDEPTH_INRANGE","Yes"
"7c5a6ba0-399d-4570-878a-4a064e2406fe","MULTIRECORD_MEASURE_QA_MAXELEVATION_INRANGE","Yes"
"49d756a8-e654-4267-a290-d1def5d2c5f9","MULTIRECORD_MEASURE_QA_MINDEPTH_INRANGE","Yes"
"fcabd2c9-392c-4841-a5d7-e2680c9587ab","MULTIRECORD_MEASURE_QA_MINDEPTH_LESSTHAN_MAXDEPTH","Yes"
"1ba18c8b-66a6-47d9-a709-404439332dba","MULTIRECORD_MEASURE_QA_MINELEVATION_INRANGE","Yes"
"44f00697-ca66-43cf-8f16-646b40c0f514","MULTIRECORD_MEASURE_QA_MINELEVATION_LESSTHAN_MAXELEVATION","Yes"
"b3c2bb86-e239-4532-ae0c-b121ec1ee025","MULTIRECORD_MEASURE_QA_MONTH_STANDARD","Yes"
"16059801-6adb-4e65-82f4-61eaa70d8df0","MULTIRECORD_MEASURE_QA_NAMEPUBLISHEDINYEAR_NOTEMPTY","Yes"
"0028ef9a-6553-467b-a344-90327ed2babf","MULTIRECORD_MEASURE_QA_OCCURRENCEID_NOTEMPTY",
"d2922585-2070-4851-a033-15e51977f9dc","MULTIRECORD_MEASURE_QA_OCCURRENCESTATUS_NOTEMPTY",
"2fea4571-92d0-48a5-a5ba-6caecd647862","MULTIRECORD_MEASURE_QA_OCCURRENCESTATUS_STANDARD",
"773bb288-fef3-4968-a65a-a69c74d6ecb5","MULTIRECORD_MEASURE_QA_ORDER_FOUND","Yes"
"ef31ba02-cea7-4d76-990f-99ebbd201fb4","MULTIRECORD_MEASURE_QA_PATHWAY_STANDARD","Yes"
"17364d16-37b7-4ccb-9614-bfb95ff1bca9","MULTIRECORD_MEASURE_QA_PHYLUM_FOUND","Yes"
"ef05b45b-13b8-4877-9e9d-fa44b332d83c","MULTIRECORD_MEASURE_QA_POLYNOMIAL_CONSISTENT","Yes"
"a8aee02c-cf7c-4104-a601-d8afc4f9cbe2","MULTIRECORD_MEASURE_QA_SCIENTIFICNAME_FOUND",
"b4d6a61c-64ff-4da0-974c-63a73fd20836","MULTIRECORD_MEASURE_QA_SCIENTIFICNAME_NOTEMPTY",
"6dd6fecf-6ba1-425c-afbe-6a9ed7b65ed7","MULTIRECORD_MEASURE_QA_SCIENTIFICNAMEAUTHORSHIP_NOTEMPTY",
"a9529e71-5470-4cb1-b04d-aa483926f532","MULTIRECORD_MEASURE_QA_SCIENTIFICNAMEID_COMPLETE",
"4cf84216-c8a7-4865-a8e1-3ffd829d5a10","MULTIRECORD_MEASURE_QA_SCIENTIFICNAMEID_NOTEMPTY",
"1b3bbac4-7c00-46d6-8179-1d57c92374ad","MULTIRECORD_MEASURE_QA_SEX_STANDARD","Yes"
"8c217eee-9cd0-48c3-aea0-90151c6c5bfd","MULTIRECORD_MEASURE_QA_STARTDAYOFYEAR_INRANGE","Yes"
"9c1cdf6a-0dbf-4828-a2e3-fb368f74d194","MULTIRECORD_MEASURE_QA_STATEPROVINCE_FOUND","Yes"
"2a9d4cfd-815a-46e0-bb51-60724582b762","MULTIRECORD_MEASURE_QA_TAXON_NOTEMPTY",
"0df03601-3768-4805-906a-bbd0a41b0fda","MULTIRECORD_MEASURE_QA_TAXON_UNAMBIGUOUS",
"e0b8cff1-3322-40d2-b8b2-b99fc9ae130a","MULTIRECORD_MEASURE_QA_TAXONRANK_NOTEMPTY",
"f320ca83-8487-4011-b1ff-f4b1b4dd86ec","MULTIRECORD_MEASURE_QA_TAXONRANK_STANDARD",
"1ca359ea-4df3-4dca-b92b-2bc8fa8e0c88","MULTIRECORD_MEASURE_QA_TYPESTATUS_STANDARD",
"a0502c5f-608b-4e59-99da-d9490bb4d93b","MULTIRECORD_MEASURE_QA_YEAR_INRANGE",
"a8fef8a8-e7c7-4a2d-adaf-7da99c896c93","MULTIRECORD_MEASURE_QA_YEAR_NOTEMPTY",
